Name;ASTRAZENECA - TOT RETURN IND;ASTRAZENECA - NET SALES OR REVENUES;ASTRAZENECA - NUMBER OF SHARES;ASTRAZENECA - UNADJUSTED PRICE;ASTRAZENECA - MARKET VALUE;ASTRAZENECA - COST OF GOODS SOLD (EXCL DEP);ASTRAZENECA - TOTAL ASSETS;ASTRAZENECA - TOTAL INVENTORIES;#ERROR;KONINKLIJKE AHOLD DELHAIZE - TOT RETURN IND;KONINKLIJKE AHOLD DELHAIZE - NET SALES OR REVENUES;KONINKLIJKE AHOLD DELHAIZE - NUMBER OF SHARES;KONINKLIJKE AHOLD DELHAIZE - UNADJUSTED PRICE;KONINKLIJKE AHOLD DELHAIZE - MARKET VALUE;KONINKLIJKE AHOLD DELHAIZE - COST OF GOODS SOLD (EXCL DEP);KONINKLIJKE AHOLD DELHAIZE - TOTAL ASSETS;KONINKLIJKE AHOLD DELHAIZE - TOTAL INVENTORIES;#ERROR;ABN AMRO BANK - TOT RETURN IND;ABN AMRO BANK - NET SALES OR REVENUES;ABN AMRO BANK - NUMBER OF SHARES;ABN AMRO BANK - UNADJUSTED PRICE;ABN AMRO BANK - MARKET VALUE;#ERROR;ABN AMRO BANK - TOTAL ASSETS;#ERROR;ABN AMRO BANK - TOTAL INVESTMENTS;JUST EAT TAKEAWAY.COM - TOT RETURN IND;JUST EAT TAKEAWAY.COM - NET SALES OR REVENUES;JUST EAT TAKEAWAY.COM - NUMBER OF SHARES;JUST EAT TAKEAWAY.COM - UNADJUSTED PRICE;JUST EAT TAKEAWAY.COM - MARKET VALUE;JUST EAT TAKEAWAY.COM - COST OF GOODS SOLD (EXCL DEP);JUST EAT TAKEAWAY.COM - TOTAL ASSETS;JUST EAT TAKEAWAY.COM - TOTAL INVENTORIES;#ERROR;AAH DEAD - T/OVER 951741 - TOT RETURN IND;AAH DEAD - T/OVER 951741 - NET SALES OR REVENUES;AAH DEAD - T/OVER 951741 - NUMBER OF SHARES;AAH DEAD - T/OVER 951741 - UNADJUSTED PRICE;AAH DEAD - T/OVER 951741 - MARKET VALUE;AAH DEAD - T/OVER 951741 - COST OF GOODS SOLD (EXCL DEP);AAH DEAD - T/OVER 951741 - TOTAL ASSETS;AAH DEAD - T/OVER 951741 - TOTAL INVENTORIES;#ERROR;THB GROUP DEAD - 26/01/12 - TOT RETURN IND;THB GROUP DEAD - 26/01/12 - NET SALES OR REVENUES;THB GROUP DEAD - 26/01/12 - NUMBER OF SHARES;THB GROUP DEAD - 26/01/12 - UNADJUSTED PRICE;THB GROUP DEAD - 26/01/12 - MARKET VALUE;THB GROUP DEAD - 26/01/12 - COST OF GOODS SOLD (EXCL DEP);THB GROUP DEAD - 26/01/12 - TOTAL ASSETS;THB GROUP DEAD - 26/01/12 - TOTAL INVENTORIES;#ERROR
Code;AZN(RI);AZN(WC01001);AZN(NOSH);AZN(UP);AZN(MV);AZN(WC01051);AZN(WC02999);AZN(WC02101);;H:AD(RI);H:AD(WC01001);H:AD(NOSH);H:AD(UP);H:AD(MV);H:AD(WC01051);H:AD(WC02999);H:AD(WC02101);;H:ABN(RI);H:ABN(WC01001);H:ABN(NOSH);H:ABN(UP);H:ABN(MV);;H:ABN(WC02999);;H:ABN(WC02255);H:TKWY(RI);H:TKWY(WC01001);H:TKWY(NOSH);H:TKWY(UP);H:TKWY(MV);H:TKWY(WC01051);H:TKWY(WC02999);H:TKWY(WC02101);;901318(RI);901318(WC01001);901318(NOSH);901318(UP);901318(MV);901318(WC01051);901318(WC02999);901318(WC02101);;THB(RI);THB(WC01001);THB(NOSH);THB(UP);THB(MV);THB(WC01051);THB(WC02999);THB(WC02101);
CURRENCY;£;£;£;£;£;£;£;£;;E;E;E;E;E;E;E;E;;E;E;NA;NA;NA;;NA;;NA;E;E;E;E;E;E;E;E;;£;£;£;£;£;£;£;£;;£;£;£;£;£;£;£;£;
29-2-2012;844.49;17562848;1276631;2807.5;35841.41;2392736;32240145;1267515;;2406;32841000;1100888;10.38;11427.22;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-3-2012;835.92;17562848;1273493;2779;35390.36;2392736;32240145;1267515;;2408.31;32841000;1100888;10.39;11438.23;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-4-2012;812.01;17562848;1270277;2699.5;34291.12;2392736;32240145;1267515;;2311.04;32841000;1100888;9.582;10548.71;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-5-2012;787.49;17562848;1263408;2618;33076.01;2392736;32240145;1267515;;2291.5;32841000;1100888;9.501;10459.54;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-6-2012;858.18;17562848;1258941;2853;35917.58;2392736;32240145;1267515;;2357.35;32841000;1100888;9.774;10760.09;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-7-2012;898.34;17562848;1250510;2986.5;37346.46;2392736;32240145;1267515;;2386.53;32841000;1060988;9.895;10498.48;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-8-2012;900.13;17562848;1246993;2936.5;36617.93;2392736;32240145;1267515;;2370.85;32841000;1060988;9.83;10429.52;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-9-2012;905.8;17562848;1244852;2955;36785.36;2392736;32240145;1267515;;2350.83;32841000;1060988;9.747;10341.46;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-10-2012;882.05;17562848;1245028;2877.5;35825.67;2392736;32240145;1267515;;2369.16;32841000;1060988;9.823;10422.09;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-11-2012;909.33;17562848;1245185;2966.5;36938.4;2392736;32240145;1267515;;2353;32841000;1060988;9.756;10351;23520000;14729000;1492000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-12-2012;891.86;17562848;1246779;2909.5;36275.02;2392736;32240145;1267515;;2444.41;32615000;1060988;10.135;10753.12;23128000;14731000;1450000;;NA;16236000;NA;NA;NA;;392517000;;52338000;NA;NA;NA;NA;NA;NA;NA;NA;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-1-2013;935.84;16411331;1246779;3053;38064.16;2258944;33035176;1153036;;2609.63;32615000;1060988;10.82;11479.9;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-2-2013;956.26;16411331;1248036;2995.5;37384.9;2258944;33035176;1153036;;2653.04;32615000;1060986;11;11670.86;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-3-2013;1053.31;16411331;1248156;3299.5;41182.9;2258944;33035176;1153036;;2883.37;32615000;1060986;11.955;12684.09;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-4-2013;1067.03;16411331;1249690;3342.5;41770.87;2258944;33035176;1153036;;3001.12;32615000;1060986;11.98;12710.62;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-5-2013;1081.56;16411331;1251388;3388;42397.01;2258944;33035176;1153036;;3137.65;32615000;1060986;12.525;13288.86;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-6-2013;994.41;16411331;1252089;3115;39002.56;2258944;33035176;1153036;;2864.59;32615000;1060986;11.435;12132.38;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-7-2013;1064.64;16411331;1252224;3335;41761.65;2258944;33035176;1153036;;3102.57;32615000;1060986;12.385;13140.32;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-8-2013;1032.61;16411331;1252332;3178;39799.11;2258944;33035176;1153036;;3019.91;32615000;1060986;12.055;12790.19;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-9-2013;1044.79;16411331;1252536;3215.5;40275.29;2258944;33035176;1153036;;3207.79;32615000;1060986;12.805;13585.93;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-10-2013;1075.17;16411331;1252822;3309;41455.87;2258944;33035176;1153036;;3512.16;32615000;1060986;14.02;14875.03;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-11-2013;1141.62;16411331;1253335;3513.5;44035.91;2258944;33035176;1153036;;3356.84;32615000;1060986;13.4;14217.22;23128000;14731000;1450000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-12-2013;1161.44;16411331;1257170;3574.5;44937.53;2258944;33035176;1153036;;3269.16;32774000;1060986;13.05;13845.88;23178000;13644000;1589000;;NA;14889000;NA;NA;NA;;371277000;;56572000;NA;22728;NA;NA;NA;2535;6256;177;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-1-2014;1253.72;15854539;1259826;3858.5;48610.37;2108875;36835392;1258320;;3097.56;32774000;1060986;12.365;13119.1;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-2-2014;1364.82;15854539;1260967;4084;51497.88;2108875;36835392;1258320;;3385.65;32774000;1060986;13.515;14339.23;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-3-2014;1295.48;15854539;1260967;3876.5;48881.38;2108875;36835392;1258320;;3644.03;32774000;979373;14.58;14279.25;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-4-2014;1558.65;15854539;1261910;4664;58855.48;2108875;36835392;1258320;;3594.07;32774000;979372;13.905;13618.16;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-5-2014;1431.49;15854539;1262448;4283.5;54076.95;2108875;36835392;1258320;;3445.45;32774000;979372;13.33;13055.02;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-6-2014;1450.54;15854539;1262563;4340.5;54801.54;2108875;36835392;1258320;;3543.67;32774000;894373;13.71;12261.85;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-7-2014;1451.88;15854539;1262588;4344.5;54853.12;2108875;36835392;1258320;;3374.37;32774000;894373;13.055;11676.04;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-8-2014;1546.3;15854539;1262588;4567;57662.39;2108875;36835392;1258320;;3360.15;32774000;894373;13;11626.85;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-9-2014;1503.81;15854539;1262751;4441.5;56085.07;2108875;36835392;1258320;;3313.63;32774000;894373;12.82;11465.86;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-10-2014;1538.34;15854539;1262810;4543.5;57375.77;2108875;36835392;1258320;;3448.03;32774000;894373;13.34;11930.93;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-11-2014;1618.42;15854539;1262810;4780;60362.32;2108875;36835392;1258320;;3671.61;32774000;894373;14.205;12704.57;23178000;13644000;1589000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-12-2014;1542.4;15854539;1263143;4555.5;57542.46;2108875;36835392;1258320;;3813.77;38203000;894373;14.755;13196.47;26856000;15252000;1676000;;NA;16300000;NA;NA;NA;;386393000;;96732000;NA;46712;NA;NA;NA;4658;87833;386;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-1-2015;1605.89;16202765;1263143;4743;59910.86;1956162;39886740;1452954;;4144.62;38203000;894373;16.035;14341.27;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
27-2-2015;1555.35;16202765;1263218;4469.5;56459.54;1956162;39886740;1452954;;4333.3;38203000;894373;16.765;14994.16;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-3-2015;1609.98;16202765;1263501;4626.5;58455.87;1956162;39886740;1452954;;4742.98;38203000;894373;18.35;16411.75;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-4-2015;1564.74;16202765;1263578;4496.5;56816.78;1956162;39886740;1452954;;4587.67;38203000;894373;17.3;15472.65;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-5-2015;1521.59;16202765;1263578;4372.5;55249.95;1956162;39886740;1452954;;4909.87;38203000;894373;18.515;16559.32;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-6-2015;1398.58;16202765;1263641;4019;50785.73;1956162;39886740;1452954;;4455.08;38203000;894373;16.8;15025.47;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-7-2015;1503.32;16202765;1263665;4320;54590.32;1956162;39886740;1452954;;4806.45;38203000;834373;18.125;15123.01;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-8-2015;1453.1;16202765;1263787;4120;52068.02;1956162;39886740;1452954;;4671.2;38203000;834373;17.615;14697.48;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-9-2015;1474.79;16202765;1263816;4181.5;52846.46;1956162;39886740;1452954;;4616.84;38203000;834373;17.41;14526.44;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-10-2015;1463.86;16202765;1263816;4150.5;52454.69;1956162;39886740;1452954;;4911.2;38203000;834373;18.52;15452.59;26856000;15252000;1676000;;NA;16790000;NA;NA;NA;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-11-2015;1588;16202765;1263883;4502.5;56906.32;1956162;39886740;1452954;;5460.12;38203000;834373;20.59;17179.73;26856000;15252000;1676000;;112;16790000;940000;19.88;18687.2;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-12-2015;1628.21;16202765;1264123;4616.5;58358.23;1956162;39886740;1452954;;5164.45;38203000;834373;19.475;16249.42;26856000;15252000;1676000;;116.45;16790000;940000;20.67;19429.79;;390008000;;83991000;NA;76736;NA;NA;NA;7354;78513;644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-1-2016;1582.71;17108658;1264123;4487.5;56727.52;2426987;49814864;1892874;;5522.44;49695000;834373;20.825;17375.81;34957000;35575000;3288000;;108.39;15815000;940000;19.24;18085.6;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-2-2016;1494.91;17108658;1264233;4107;51922.05;2426987;49814864;1892874;;5362;49695000;834373;20.22;16871.02;34957000;35575000;3288000;;102.76;15815000;940000;18.24;17145.6;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-3-2016;1420.48;17108658;1264501;3902.5;49347.14;2426987;49814864;1892874;;5242.67;49695000;834373;19.77;16495.56;34957000;35575000;3288000;;101.44;15815000;940000;18.005;16924.7;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-4-2016;1429.76;17108658;1264501;3928;49669.59;2426987;49814864;1892874;;5175.94;49695000;834373;19;15853.09;34957000;35575000;3288000;;105.18;15815000;940000;18.67;17549.79;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-5-2016;1466.16;17108658;1264573;4028;50936.99;2426987;49814864;1892874;;5423.84;49695000;834373;19.91;16612.37;34957000;35575000;3288000;;105.78;15815000;940000;18.305;17206.69;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-6-2016;1625.95;17108658;1264573;4467;56488.47;2426987;49814864;1892874;;5421.12;49695000;834373;19.9;16604.02;34957000;35575000;3288000;;86.08;15815000;940000;14.895;14001.3;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
29-7-2016;1837.43;17108658;1264615;5048;63837.75;2426987;49814864;1892874;;5809.93;49695000;1281292;21.36;27368.41;34957000;35575000;3288000;;96.04;15815000;940000;16.62;15622.79;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-8-2016;1810.86;17108658;1264983;4909;62098.01;2426987;49814864;1892874;;5838.49;49695000;1281292;21.465;27502.95;34957000;35575000;3288000;;108.89;15815000;940000;18.425;17319.5;;394174000;;82352000;NA;111641;NA;NA;NA;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-9-2016;1845.91;17108658;1265021;5004;63301.64;2426987;49814864;1892874;;5518.89;49695000;1281292;20.29;25997.42;34957000;35575000;3288000;;108.86;15815000;940000;18.42;17314.8;;394174000;;82352000;106.5;111641;43183;24.495;1057.77;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-10-2016;1692.45;17108658;1265041;4588;58040.08;2426987;49814864;1892874;;5656.25;49695000;1281292;20.795;26644.48;34957000;35575000;3288000;;124.25;15815000;940000;21.025;19763.49;;394174000;;82352000;93.15;111641;43183;21.425;925.2;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-11-2016;1530.69;17108658;1265051;4149.5;52493.28;2426987;49814864;1892874;;5061.93;49695000;1281292;18.61;23844.86;34957000;35575000;3288000;;120.56;15815000;940000;20.4;19175.99;;394174000;;82352000;102.17;111641;43183;23.5;1014.8;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-12-2016;1636.93;17108658;1265051;4437.5;56136.63;2426987;49814864;1892874;;5448.17;49695000;1281292;20.03;25664.29;34957000;35575000;3288000;;124.4;15815000;940000;21.05;19787;;394174000;;82352000;102.17;111641;43183;23.5;1014.8;15609;237302;806;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-1-2017;1547.11;17254243;1265279;4194;53065.8;2583720;45262100;2245900;;5357.05;62890000;1281292;19.695;25235.07;44358000;33435000;3077000;;128.54;16344000;940000;21.75;20445;;392812000;;69034000;131.72;166478;43183;30.295;1308.23;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-2-2017;1770.65;17254243;1265387;4644;58764.57;2583720;45262100;2245900;;5456.33;62890000;1281292;20.06;25702.73;44358000;33435000;3077000;;127.65;16344000;940000;21.6;20304;;392812000;;69034000;136.76;166478;43183;31.455;1358.33;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-3-2017;1873.02;17254243;1265603;4912.5;62172.74;2583720;45262100;2245900;;5456.33;62890000;1281292;20.06;25702.73;44358000;33435000;3077000;;134.45;16344000;940000;22.75;21385;;392812000;;69034000;136.91;166478;43183;31.49;1359.84;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
28-4-2017;1768.17;17254243;1265631;4637.5;58693.63;2583720;45262100;2245900;;5331.06;62890000;1281292;19.02;24370.2;44358000;33435000;3077000;;142.43;16344000;940000;24.1;22654;;392812000;;69034000;134.43;166478;43183;30.92;1335.22;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
31-5-2017;1995.61;17254243;1265747;5234;66249.19;2583720;45262100;2245900;;5502.03;62890000;1281292;19.63;25151.78;44358000;33435000;3077000;;135.66;16344000;940000;22.955;21577.7;;392812000;;69034000;162.59;166478;43183;37.395;1614.83;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
30-6-2017;1957.86;17254243;1265775;5135;64997.55;2583720;45262100;2245900;;4692;62890000;1281292;16.74;21448.85;44358000;33435000;3077000;;139.79;16344000;940000;23.21;21817.4;;392812000;;69034000;162.13;166478;43183;37.29;1610.3;26973;197914;1644;;14217.52;NA;89993;443;398.67;NA;NA;NA;;100.54;NA;38039;77.5;29.48;NA;NA;NA;
